pair,frame,label,cell_id,n_contour_points,mean_curvature,max_abs_curvature,mean_fluorescence,max_fluorescence
Spn3-GFP_Sad1-mCh_080724_011,0,76,Spn3-GFP_Sad1-mCh_080724_011_f0000_l76,300,0.011255746169390773,0.060081501689811655,236.45492838541668,419.9361572265625
Spn3-GFP_Sad1-mCh_080724_013,0,2,Spn3-GFP_Sad1-mCh_080724_013_f0000_l2,300,0.012772452675354175,0.03806074505852531,247.37300252278646,488.272705078125
Spn3-GFP_Sad1-mCh_080724_013,0,4,Spn3-GFP_Sad1-mCh_080724_013_f0000_l4,300,0.01403202244225027,0.03759175479089532,218.61396525065103,521.5003662109375
Spn3-GFP_Sad1-mCh_080724_013,0,5,Spn3-GFP_Sad1-mCh_080724_013_f0000_l5,300,0.014912782181265878,0.04220322245505289,216.84230387369792,409.3131103515625
Spn3-GFP_Sad1-mCh_080724_013,0,6,Spn3-GFP_Sad1-mCh_080724_013_f0000_l6,300,0.012601947493337463,0.03547377011762401,252.60479044596354,549.6907958984375
Spn3-GFP_Sad1-mCh_080724_013,0,7,Spn3-GFP_Sad1-mCh_080724_013_f0000_l7,300,0.014634509037809239,0.05413134479793086,279.2766837565104,1014.61376953125
Spn3-GFP_Sad1-mCh_080724_013,0,8,Spn3-GFP_Sad1-mCh_080724_013_f0000_l8,300,0.010820918319073452,0.043240152450675626,334.80870361328124,1422.47021484375
Spn3-GFP_Sad1-mCh_080724_013,0,9,Spn3-GFP_Sad1-mCh_080724_013_f0000_l9,300,0.014895230576588373,0.05462403488972366,277.15268595377603,1034.971435546875
Spn3-GFP_Sad1-mCh_080724_013,0,10,Spn3-GFP_Sad1-mCh_080724_013_f0000_l10,300,0.015202352267456372,0.06208546530029195,484.1108634440104,2394.874267578125
Spn3-GFP_Sad1-mCh_080724_013,0,11,Spn3-GFP_Sad1-mCh_080724_013_f0000_l11,300,0.017101360808067224,0.05954630877982931,466.25457356770835,2478.19677734375
Spn3-GFP_Sad1-mCh_080724_013,0,12,Spn3-GFP_Sad1-mCh_080724_013_f0000_l12,300,0.009168368437238656,0.05195122862660759,278.3805509440104,660.850341796875
Spn3-GFP_Sad1-mCh_080724_013,0,13,Spn3-GFP_Sad1-mCh_080724_013_f0000_l13,300,0.014667990628850245,0.07065782305827306,331.8380078125,975.50048828125
Spn3-GFP_Sad1-mCh_080724_013,0,14,Spn3-GFP_Sad1-mCh_080724_013_f0000_l14,300,0.01489635829400067,0.049874375403679824,342.18460367838543,1045.20751953125
Spn3-GFP_Sad1-mCh_080724_013,0,15,Spn3-GFP_Sad1-mCh_080724_013_f0000_l15,300,0.01532099129475499,0.06507095392459225,279.87462727864585,821.655029296875
Spn3-GFP_Sad1-mCh_080724_013,0,16,Spn3-GFP_Sad1-mCh_080724_013_f0000_l16,300,0.014709043986882312,0.05160053319023766,267.9436543782552,973.57275390625
Spn3-GFP_Sad1-mCh_080724_013,0,18,Spn3-GFP_Sad1-mCh_080724_013_f0000_l18,300,0.010728495173211894,0.05965474149304594,414.6536796061198,2197.115966796875
Spn3-GFP_Sad1-mCh_080724_013,0,19,Spn3-GFP_Sad1-mCh_080724_013_f0000_l19,300,0.015917508937543057,0.5400132327063758,420.080049235026,1476.632080078125
